SuccessRate Apha Gamma
93 0.0311 0.1593
93 0.0311 0.1299
92 0.0311 0.1059
94 0.0311 0.0864
91 0.0311 0.0704
93 0.0311 0.0574
90 0.0311 0.0468
88 0.0311 0.0382
92 0.0311 0.0311
90 0.0311 0.0254
88 0.0311 0.0207
93 0.0311 0.0169
91 0.0254 1.0000
87 0.0254 0.8154
95 0.0254 0.6648
89 0.0254 0.5421
95 0.0254 0.4420
86 0.0254 0.3604
91 0.0254 0.2939
92 0.0254 0.2396
92 0.0254 0.1954
90 0.0254 0.1593
95 0.0254 0.1299
89 0.0254 0.1059
95 0.0254 0.0864
87 0.0254 0.0704
90 0.0254 0.0574
93 0.0254 0.0468
92 0.0254 0.0382
90 0.0254 0.0311
94 0.0254 0.0254
95 0.0254 0.0207
92 0.0254 0.0169
94 0.0207 1.0000
95 0.0207 0.8154
95 0.0207 0.6648
93 0.0207 0.5421
97 0.0207 0.4420
97 0.0207 0.3604
98 0.0207 0.2939
92 0.0207 0.2396
93 0.0207 0.1954
97 0.0207 0.1593
96 0.0207 0.1299
92 0.0207 0.1059
87 0.0207 0.0864
92 0.0207 0.0704
90 0.0207 0.0574
88 0.0207 0.0468
92 0.0207 0.0382
95 0.0207 0.0311
94 0.0207 0.0254
89 0.0207 0.0207
86 0.0207 0.0169
92 0.0169 1.0000
90 0.0169 0.8154
91 0.0169 0.6648
95 0.0169 0.5421
93 0.0169 0.4420
91 0.0169 0.3604
90 0.0169 0.2939
93 0.0169 0.2396
93 0.0169 0.1954
95 0.0169 0.1593
93 0.0169 0.1299
95 0.0169 0.1059
96 0.0169 0.0864
89 0.0169 0.0704
93 0.0169 0.0574
97 0.0169 0.0468
92 0.0169 0.0382
91 0.0169 0.0311
96 0.0169 0.0254
91 0.0169 0.0207
91 0.0169 0.0169
